#time,id,mass,px,py,pz,vx,vy,vz
5.8737872279788679e+00,2,9.5435340000000004e-04,-1.6367207238804590e+02,4.8851333921140096e+01,-4.3146441589828676e+01,2.4141929181347915e-02,-2.0351499922683550e-01,-3.8734312019335071e-01
5.8737872279788679e+00,3,2.8630601999999998e-04,-1.5979486818512683e+02,5.8390465183957573e+01,-2.6084374594158433e+01,-5.4159430753830770e-02,1.5404858236807359e-01,-3.8267270606113124e-02

8.9322927496886084e+00,0,1.0000000000000000e+00,-1.6004526182702088e+02,5.1947298904734311e+01,-4.4979726207955650e+01,7.6772860894610925e-02,-1.8805860310827954e-02,1.6755546641805896e-02
8.9322927496886084e+00,1,1.0000000000000000e+00,1.6024706774955774e+02,-5.2010296234641842e+01,4.5029590768928344e+01,-7.6860482260422122e-02,1.8877440685208496e-02,-1.6343752838068926e-02
8.9322927496886084e+00,2,9.5435340000000004e-04,-1.6347006778051653e+02,4.8353153193917748e+01,-4.4385838338257081e+01,1.0808608980791086e-01,-1.2045254473967684e-01,-4.1784632106538655e-01
8.9322927496886084e+00,3,2.8630601999999998e-04,-1.5996068665395899e+02,5.8857769585909423e+01,-2.6212460508942002e+01,-5.4246017913607655e-02,1.5149496762368905e-01,-4.5478423927810374e-02

1.2604929104945779e+01,0,1.0000000000000000e+00,-1.5976342478271707e+02,5.1878027182287177e+01,-4.4918167257406637e+01,7.6707948382588584e-02,-1.8918106670427065e-02,1.6759995730053143e-02
1.2604929104945779e+01,1,1.0000000000000000e+00,1.5996473602127074e+02,-5.1940949663401170e+01,4.4969551739332843e+01,-7.6888339750159171e-02,1.8886484150842636e-02,-1.6351582494590209e-02
1.2604929104945779e+01,2,9.5435340000000004e-04,-1.6289198951056304e+02,4.8109616441768978e+01,-4.5923622209415377e+01,2.0526360679778111e-01,-1.1314771653531216e-02,-4.1173551893951715e-01
1.2604929104945779e+01,3,2.8630601999999998e-04,-1.6015979870598150e+02,5.9408129420801586e+01,-2.6395242860530558e+01,-5.4147144629174651e-02,1.4816597423328270e-01,-5.4040229619247496e-02

1.7557825409743597e+01,0,1.0000000000000000e+00,-1.5938367385667141e+02,5.1783954916452501e+01,-4.4835280674366807e+01,7.6642861314508801e-02,-1.9066116692434354e-02,1.6697576309224915e-02
1.7557825409743597e+01,1,1.0000000000000000e+00,1.5958382271650427e+02,-5.1847376555155279e+01,4.4888537804412152e+01,-7.6926055433020737e-02,1.8898734096357749e-02,-1.6362188261777329e-02
1.7557825409743597e+01,2,9.5435340000000004e-04,-1.6159386815456116e+02,4.8416096693885379e+01,-4.7797077573686856e+01,3.1283842229307890e-01,1.3241892903362429e-01,-3.3181127524061493e-01
1.7557825409743597e+01,3,2.8630601999999998e-04,-1.6042695274271389e+02,6.0129969353268663e+01,-2.6691113769916768e+01,-5.3663885426255650e-02,1.4323185006360645e-01,-6.5394464158680748e-02

2.2360219278904836e+01,0,1.0000000000000000e+00,-1.5901567576988543e+02,5.1692096034289918e+01,-4.4755365579821294e+01,7.6621224499448581e-02,-1.9183125813520913e-02,1.6575482230831370e-02
2.2360219278904836e+01,1,1.0000000000000000e+00,1.5921430536267493e+02,-5.1756588750100676e+01,4.4809935335587980e+01,-7.6962787573790409e-02,1.8910671426262380e-02,-1.6372523379291931e-02
2.2360219278904836e+01,2,9.5435340000000004e-04,-1.5992518799200369e+02,4.9335779618685962e+01,-4.9070483571842125e+01,3.7374395759624540e-01,2.4409395161771499e-01,-1.8981752560639259e-01
2.2360219278904836e+01,3,2.8630601999999998e-04,-1.6068277531776661e+02,6.0805381563542042e+01,-2.7031121910185703e+01,-5.2813218246716982e-02,1.3797297944577294e-01,-7.6162738727343762e-02

2.7291188353566973e+01,0,1.0000000000000000e+00,-1.5863780465258608e+02,5.1597302992958895e+01,-4.4674023760713823e+01,7.6652704342373770e-02,-1.9255568948327945e-02,1.6413138251304249e-02
2.7291188353566973e+01,1,1.0000000000000000e+00,1.5883471090671060e+02,-5.1663310468794705e+01,4.4729176656694790e+01,-7.7000670838110852e-02,1.8922989919349209e-02,-1.6383188511820274e-02
2.7291188353566973e+01,2,9.5435340000000004e-04,-1.5804218129089139e+02,5.0723172140556457e+01,-4.9560840769018583e+01,3.8007504685112636e-01,3.0885525983294904e-01,-5.3005080114373604e-03
2.7291188353566973e+01,3,2.8630601999999998e-04,-1.6094024521802547e+02,6.1471442496017623e+01,-2.7433370371211701e+01,-5.1551195048123291e-02,1.3210327065141142e-01,-8.6939078827124622e-02

3.1951748041528063e+01,0,1.0000000000000000e+00,-1.5828039005690323e+02,5.1507508444838095e+01,-4.4597901293337607e+01,7.6733570680555571e-02,-1.9268946486012295e-02,1.6255426264939102e-02
3.1951748041528063e+01,1,1.0000000000000000e+00,1.5847576093981158e+02,-5.1575091500681140e+01,4.4652798241259120e+01,-7.7036633910192609e-02,1.8934690667425313e-02,-1.6393318822945313e-02
3.1951748041528063e+01,2,9.5435340000000004e-04,-1.5636234029873955e+02,5.2193535629393040e+01,-4.9164143520763659e+01,3.3255871271095611e-01,3.1240300888992451e-01,1.7353807581773045e-01
3.1951748041528063e+01,3,2.8630601999999998e-04,-1.6117702244740309e+02,6.2073363518938471e+01,-2.7861727791659845e+01,-5.0000026329354005e-02,1.2613407459097098e-01,-9.6833781838714550e-02

